
[2025-01-29T13:08:47.213Z], INFO: Info message 
[2025-02-08T17:28:23.267Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:9:14
[2025-02-08T17:30:38.800Z], INFO: Info message
[2025-02-08T17:30:38.802Z], WARNING: Warning message
[2025-02-08T17:30:38.803Z], ERROR: Error message
[2025-02-08T17:30:38.804Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:9:14
[2025-02-08T17:32:41.375Z], INFO: Info message
[2025-02-08T17:32:41.378Z], WARNING: Warning message
[2025-02-08T17:32:41.378Z], ERROR: Error message
[2025-02-08T17:32:41.379Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:9:14
[2025-02-08T17:32:47.629Z], INFO: Info message
[2025-02-08T17:32:47.631Z], WARNING: Warning message
[2025-02-08T17:32:47.632Z], ERROR: Error message
[2025-02-08T17:32:47.632Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:9:14
[2025-02-08T17:34:55.461Z], INFO: Info message
[2025-02-08T17:34:55.464Z], WARNING: Warning message
[2025-02-08T17:34:55.465Z], ERROR: Error message
[2025-02-08T17:34:55.465Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:9:14
[2025-02-08T17:36:20.245Z], INFO: Info message
[2025-02-08T17:36:20.247Z], WARNING: Warning message
[2025-02-08T17:36:20.248Z], ERROR: Error message
[2025-02-08T17:36:20.248Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:9:14
[2025-02-08T17:36:48.540Z], INFO: Info message
[2025-02-08T17:36:48.542Z], WARNING: Warning message
[2025-02-08T17:36:48.543Z], ERROR: Error message
[2025-02-08T17:36:48.544Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:9:14
[2025-02-08T17:37:24.591Z], INFO: Info message
[2025-02-08T17:37:24.593Z], WARNING: Warning message
[2025-02-08T17:37:24.594Z], ERROR: Error message
[2025-02-08T17:37:24.595Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:9:14
[2025-02-08T17:37:57.992Z], INFO: Info message
[2025-02-08T17:37:57.994Z], WARNING: Warning message
[2025-02-08T17:37:57.995Z], ERROR: Error message
[2025-02-08T17:37:57.995Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:9:14
[2025-02-10T11:25:58.646Z], INFO: Info message
[2025-02-10T11:25:58.656Z], WARNING: Warning message
[2025-02-10T11:25:58.656Z], ERROR: Error message
[2025-02-10T11:25:58.657Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:9:14
[2025-02-10T11:28:04.500Z], INFO: Info message
[2025-02-10T11:28:04.503Z], WARNING: Warning message
[2025-02-10T11:28:04.503Z], ERROR: Error message
[2025-02-10T11:28:04.503Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:9:14
[2025-02-11T17:01:00.760Z], INFO: Info message
[2025-02-11T17:01:00.763Z], WARNING: Warning message
[2025-02-11T17:01:00.763Z], ERROR: Error message
[2025-02-11T17:01:00.764Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:9:14
[2025-02-11T17:01:16.867Z], INFO: Info message
[2025-02-11T17:01:16.869Z], WARNING: Warning message
[2025-02-11T17:01:16.870Z], ERROR: Error message
[2025-02-11T17:01:16.870Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:9:14
[2025-02-16T14:23:59.159Z], INFO: Info message
[2025-02-16T14:23:59.163Z], WARNING: Warning message
[2025-02-16T14:23:59.164Z], ERROR: Error message
[2025-02-16T14:23:59.165Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:9:14
[2025-02-18T17:33:10.551Z], INFO: Info message
[2025-02-18T17:33:10.553Z], WARNING: Warning message
[2025-02-18T17:33:10.554Z], ERROR: Error message
[2025-02-18T17:33:10.555Z], ERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:9:14
[2025-02-23T18:25:49.492Z], [34mINFO: Info message[39m
[2025-02-23T18:25:49.494Z], [93mWARNING: Warning message[39m
[2025-02-23T18:25:49.495Z], [31mERROR: Error message[39m
[2025-02-23T18:25:49.496Z], [31mERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:21:14[39m
[2025-02-23T18:32:19.533Z], [34mINFO: Info message[39m
[2025-02-23T18:32:19.535Z], [93mWARNING: Warning message[39m
[2025-02-23T18:32:19.536Z], [31mERROR: Error message[39m
[2025-02-23T18:32:19.537Z], [31mERROR: Error 123 at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:21:14[39m
